epoch (val_ndcg, val_hr, val_loss) (test_ndcg, test_hr)
1 (0.09314194900060639, 0.19088016967126192, 1.3109845610716688) (0.05894735309596939, 0.12089077412513255)
2 (0.21918744207790913, 0.38918345705196183, 1.1718648969495031) (0.144083646407769, 0.2757158006362672)
3 (0.26976245621093786, 0.4591728525980912, 1.075592861511801) (0.1725330949411306, 0.30434782608695654)
4 (0.32435359623001364, 0.5312831389183457, 0.9934743786445984) (0.2006378016949693, 0.34676564156945916)
5 (0.35986530058350985, 0.5652173913043478, 0.9428764603170838) (0.23126031390394974, 0.3955461293743372)
6 (0.39247129207967, 0.6171792152704135, 0.8805707945929858) (0.2537101159578687, 0.44644750795334043)
7 (0.40354681813354104, 0.6394485683987274, 0.8814452471861405) (0.2559874246333481, 0.4443266171792153)
8 (0.4283818500713208, 0.6755037115588547, 0.8591767358391181) (0.28218478254855117, 0.47932131495228)
9 (0.4552131172483863, 0.71898197242842, 0.8289155954394335) (0.3117994273592972, 0.5365853658536586)
10 (0.46042239799802465, 0.7168610816542949, 0.8538627056513586) (0.31499128914729574, 0.5365853658536586)
11 (0.48345365456567313, 0.7560975609756098, 0.8122805920908522) (0.3409290698062156, 0.5737009544008483)
12 (0.490426809241208, 0.7486744432661718, 0.8583675254677537) (0.3467362551633391, 0.5726405090137858)
13 (0.491845866174443, 0.7645811240721103, 0.7898539330016264) (0.35878360496654754, 0.5885471898197243)
14 (0.5041449834575642, 0.7730646871686108, 0.8336255406429507) (0.3516211344149658, 0.5980911983032874)
15 (0.5153757785914403, 0.7847295864262991, 0.8242676888877962) (0.3744926224596381, 0.6203605514316013)
16 (0.5045913183155155, 0.7698833510074231, 0.8709064177489293) (0.3622866051661019, 0.5991516436903499)
17 (0.5113557296092417, 0.7794273594909862, 0.8213389501694593) (0.3845075345763252, 0.6362672322375398)
18 (0.5132343091662761, 0.782608695652174, 0.9097488496624415) (0.37966798661916645, 0.6129374337221634)
19 (0.5220818860451663, 0.7783669141039237, 0.9339685258421008) (0.38115810114211046, 0.630965005302227)
20 (0.5261707295084626, 0.7857900318133616, 0.8570960395251453) (0.38620395315503736, 0.6341463414634146)
21 (0.5229547143108229, 0.7879109225874867, 0.9103275283910374) (0.38304501968016597, 0.6267232237539767)
22 (0.5192952835029692, 0.782608695652174, 0.9204157898054396) (0.37826708375331836, 0.6256627783669141)
23 (0.525241295191866, 0.8048780487804879, 0.9199128162169143) (0.4000070312246781, 0.6468716861081655)
24 (0.53425527489564, 0.7942735949098622, 0.9690784956679175) (0.40262853126604126, 0.6373276776246023)
25 (0.5314234426212513, 0.7985153764581124, 0.9644178302478625) (0.4064346560991017, 0.6542948038176034)
26 (0.5273722672900727, 0.8038176033934252, 0.9485506954842888) (0.403966763209758, 0.6564156945917285)
27 (0.5476889762587144, 0.8101802757158006, 0.9708647093521322) (0.40063335514664733, 0.6489925768822906)
28 (0.5523696246671492, 0.809119830328738, 1.0187795258473806) (0.4084015441237289, 0.6553552492046659)
29 (0.5437078306432271, 0.8006362672322376, 1.0238789289227805) (0.4157206613371167, 0.6680805938494168)
30 (0.554514850438747, 0.8027571580063627, 1.0463353090545247) (0.41747963226464946, 0.6585365853658537)
31 (0.5612282593612994, 0.8144220572640509, 1.0154901394464495) (0.4275629659846568, 0.6542948038176034)
