epoch (val_ndcg, val_hr) (test_ndcg, test_hr)
5 (0.03225778134550357, 0.0784729586426299) (0.009567154616392216, 0.027571580063626724)
10 (0.1864592406285803, 0.34994697773064687) (0.11202916783278888, 0.2205726405090138)
15 (0.2739498761392671, 0.4591728525980912) (0.16610214633985146, 0.3022269353128314)
20 (0.3177867564285944, 0.5143160127253447) (0.19849458853830132, 0.35737009544008486)
25 (0.3786795751910181, 0.5927889713679746) (0.2530216133986413, 0.43160127253446445)
30 (0.3930283643764812, 0.6203605514316013) (0.2591816231055417, 0.45387062566277836)
35 (0.4132782907058377, 0.647932131495228) (0.2908188021344568, 0.4909862142099682)
40 (0.43795912174340573, 0.689289501590668) (0.3078700989795792, 0.528101802757158)
45 (0.47211513814106204, 0.7306468716861082) (0.331234221923626, 0.5556733828207847)
50 (0.48422865607507903, 0.7539766702014846) (0.35482810303470064, 0.5853658536585366)
55 (0.5080935719038682, 0.7741251325556734) (0.3619432862823856, 0.6065747613997879)
60 (0.5257258947141963, 0.7889713679745494) (0.3727049921248345, 0.6065747613997879)
65 (0.5356315070514633, 0.7953340402969247) (0.37878060354259346, 0.616118769883351)
70 (0.5373951928067684, 0.8080593849416755) (0.38893943809044274, 0.6415694591728526)
75 (0.5375365792143214, 0.8112407211028632) (0.40356871723521665, 0.6542948038176034)
80 (0.553710595143184, 0.8038176033934252) (0.3992166648783038, 0.6489925768822906)
85 (0.546253451356402, 0.8123011664899258) (0.3974241383596544, 0.6468716861081655)
90 (0.5469066819989958, 0.8176033934252386) (0.4129017386362994, 0.6595970307529162)
95 (0.5529097309231196, 0.8133616118769883) (0.40478498066631663, 0.6564156945917285)
100 (0.5630253491092303, 0.8324496288441146) (0.42718812016268753, 0.672322375397667)
105 (0.5650613402553788, 0.8260869565217391) (0.4215865017587168, 0.6659597030752916)
110 (0.5559574854206097, 0.8313891834570519) (0.42458121415558714, 0.6818663838812301)
115 (0.5670122888087432, 0.8345705196182397) (0.42794894954820206, 0.6670201484623541)
120 (0.5742862316272003, 0.83881230116649) (0.42560232836937195, 0.689289501590668)
125 (0.5649823910692237, 0.8409331919406151) (0.4333897546339624, 0.6776246023329798)
130 (0.5840240339785265, 0.8335100742311771) (0.4326027719382214, 0.6839872746553552)
135 (0.5869711190730572, 0.8409331919406151) (0.43810581003613536, 0.6776246023329798)
140 (0.5790683378397299, 0.8377518557794273) (0.44381523652693766, 0.6882290562036055)
145 (0.5884101418724998, 0.8398727465535525) (0.4438932719545148, 0.6786850477200425)
150 (0.5805097686232596, 0.8441145281018028) (0.43594390385831366, 0.6935312831389183)
155 (0.5916522864502706, 0.8472958642629904) (0.44376442805772476, 0.6829268292682927)
160 (0.5916377385154223, 0.8398727465535525) (0.45159269843418104, 0.6914103923647932)
165 (0.5940497970520071, 0.8494167550371156) (0.4539851849854256, 0.6924708377518558)
170 (0.5918790237600138, 0.8462354188759279) (0.4521226112184989, 0.6903499469777307)
175 (0.599130686206261, 0.848356309650053) (0.45571540909693126, 0.6988335100742312)
180 (0.6004232835061777, 0.848356309650053) (0.4593250266558058, 0.7073170731707317)
185 (0.5973154963147935, 0.8472958642629904) (0.45246892078711193, 0.6914103923647932)
190 (0.598063357204656, 0.8419936373276776) (0.45250224618863394, 0.6935312831389183)
195 (0.5909996697078421, 0.8525980911983033) (0.4634941318152991, 0.7094379639448568)
200 (0.5927733140419522, 0.855779427359491) (0.4521805569974154, 0.6956521739130435)
205 (0.6088764990723303, 0.8504772004241782) (0.4545325627240309, 0.6988335100742312)
210 (0.6032412146134624, 0.8515376458112407) (0.46309010494202907, 0.6988335100742312)
215 (0.6026500731580281, 0.848356309650053) (0.455822445955707, 0.6956521739130435)
220 (0.6030076305058846, 0.8515376458112407) (0.4617531852372265, 0.6914103923647932)
225 (0.5907672658094896, 0.8504772004241782) (0.4593901851340032, 0.7051961823966065)
230 (0.6102828935152899, 0.8632025450689289) (0.4535761921418052, 0.7051961823966065)
235 (0.6145475560203367, 0.8600212089077413) (0.46232077930796006, 0.704135737009544)
240 (0.611721736600104, 0.8547189819724285) (0.4605230073934938, 0.7020148462354189)
245 (0.6074904537272926, 0.8515376458112407) (0.460546501824873, 0.6935312831389183)
250 (0.6029095883368507, 0.8494167550371156) (0.46144788073501636, 0.6998939554612937)
255 (0.6054032285936634, 0.8525980911983033) (0.46053627745668274, 0.7062566277836692)
260 (0.606840277258997, 0.8547189819724285) (0.47649650275135613, 0.7030752916224814)
265 (0.6131748515533693, 0.848356309650053) (0.4686114328922265, 0.7009544008483564)
270 (0.6074019350802708, 0.8589607635206787) (0.46746276115990704, 0.7020148462354189)
275 (0.6210383154235193, 0.8621420996818664) (0.47179738342971256, 0.7136797454931071)
280 (0.6090153090211018, 0.848356309650053) (0.47306784222031134, 0.7126193001060446)
285 (0.6055714717142889, 0.8536585365853658) (0.46614750070100996, 0.7094379639448568)
290 (0.6132454966881824, 0.8504772004241782) (0.4623957439070817, 0.6988335100742312)
295 (0.6149435305362418, 0.8610816542948038) (0.4588637581526259, 0.7009544008483564)
300 (0.614514434071079, 0.848356309650053) (0.46111939177254097, 0.6988335100742312)
305 (0.6063738445091206, 0.8472958642629904) (0.4598519252844803, 0.7051961823966065)
310 (0.6038561193180236, 0.8356309650053022) (0.4626608880400921, 0.7073170731707317)
315 (0.6076657829754194, 0.8430540827147401) (0.46861655302898225, 0.7062566277836692)
320 (0.6157944932568731, 0.8579003181336161) (0.4636891256646764, 0.7051961823966065)
325 (0.6100312235483515, 0.8515376458112407) (0.4694396226365724, 0.7136797454931071)
330 (0.6086979109139116, 0.8472958642629904) (0.4785832343661462, 0.7073170731707317)
335 (0.6187973967559887, 0.8494167550371156) (0.47390350274689663, 0.7094379639448568)
340 (0.6196916867511486, 0.8515376458112407) (0.46568061991768644, 0.6935312831389183)
345 (0.5972960475085947, 0.83881230116649) (0.4744227960501838, 0.7083775185577943)
350 (0.60370997388843, 0.848356309650053) (0.47458866900330865, 0.7126193001060446)
355 (0.6085839824832758, 0.8441145281018028) (0.4679911855632857, 0.7094379639448568)
360 (0.6112078323036425, 0.8430540827147401) (0.46617397697019836, 0.7073170731707317)
365 (0.6112879739888103, 0.8462354188759279) (0.46046855847023677, 0.6998939554612937)
370 (0.6103954388064209, 0.8536585365853658) (0.4675006847293813, 0.7083775185577943)
375 (0.620428657211165, 0.8462354188759279) (0.46729139026776595, 0.6977730646871686)
380 (0.6078046312722288, 0.83881230116649) (0.46656092613374234, 0.704135737009544)
385 (0.6033712338424227, 0.855779427359491) (0.4646300959255209, 0.694591728525981)
390 (0.6015081193711986, 0.8430540827147401) (0.47101202744166826, 0.7136797454931071)
395 (0.612412840394708, 0.8525980911983033) (0.46326704508118527, 0.6998939554612937)
400 (0.6035287758248729, 0.8579003181336161) (0.47450718725933144, 0.7083775185577943)
